PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,CharConversionPercentage,LoCConversionPercentage,EWIsNumber,ObjectDB,DeploymentOrder,CharacterCount
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimScenario,CREATE TABLE,PRODUCT,01-tables.sql,581,10,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimCustomer,CREATE TABLE,SALES,01-tables.sql,593,37,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERSON_EMPLOYMENT_PERIOD,CREATE TABLE,HR,01-tables.sql,632,9,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065,,,--,100%,3,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ACT_COUNT,CREATE TABLE,HR,01-tables.sql,643,9,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,EMPLOYEE,CREATE TABLE,HR,01-tables.sql,654,10,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,INTERVAL_DATA_TYPE,CREATE TABLE,PRODUCT,01-tables.sql,666,20,Low,Fully Converted,MSCEWI1036 | MSCEWI2065 | MSCEWI2015,,,--,100%,15,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,EMPLOYEE_PERIOD,CREATE TABLE,HR,01-tables.sql,688,16,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065 | MSCEWI2015,,,--,100%,4,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,EMPLOYEE_PHONE_INFO,CREATE TABLE,HR,01-tables.sql,706,11,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ERR_SP_LOG,CREATE TABLE,PRODUCT,01-tables.sql,719,10,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FLIGHTS,CREATE TABLE,HR,01-tables.sql,731,10,Low,Fully Converted,MSCEWI2065 | MSCEWI2015,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERSON_LOGIN,CREATE TABLE,HR,01-tables.sql,743,9,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,INTERVAL_FUNCTION,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,21,11,Low,Fully Converted,MSCEWI1020 | MSCEWI2053,,,--,100%,4,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,vtruncround,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,38,21,Low,Fully Converted,MSCEWI1020 | MSCEWI1050,TRUNC_UDF|ROUND_DATE_UDF,TRUNC_UDF.sql|ROUND_DATE_UDF.sql,--,100%,9,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,REACHABLE_FROM,CREATE / REPLACE VIEW,HR_VIEWS,02-views.sql,65,20,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FACTFINANCE_COPY_WITHOUT_DATA,CREATE TABLE,SALES_VIEWS,02-views.sql,101,3,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,INTERVAL_DATA_TYPE_V,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,110,4,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERIOD_OVERLAP_LDIFF,CREATE / REPLACE VIEW,HR_VIEWS,02-views.sql,116,15,Low,Fully Converted,MSCEWI1020 | MSCEWI2053 | MSCEWI1050,PERIOD_OVERLAPS_UDF,PERIOD_UDF.sql,--,100%,14,,,
